message;text
policy;RT @nowthisnews: Rep. Trey Radel (R- #FL) slams #Obamacare. #politics https://t.co/zvywMG8yIH
attack;VIDEO - #Obamacare:  Full of Higher Costs and Broken Promises: http://t.co/dn3vzqIrWF
support;Please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices.
policy;RT @SenatorLeahy: 1st step toward Senate debate on Leahy-Crapo #VAWA bill is the Senateâ€™s procedural vote today at 5:30 pm
policy;".@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. My #UAS bill does that: http://t.co/l9ta5SKq6u"
information;Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2)
mobilization;@BBCWorld, help us keep the kidnapped Nigerian school girls' story out front. #BringBackOurGirls #JoinRepWilson http://t.co/ZqZVT80mga
mobilization;Show your Arizona pride-choose your favorite S. AZ picture for my Facebook cover photo! Retweet to spread the word! https://t.co/7PHHigA8nd
personal;"What a wonderful night at State Senator Ken Yagerâ€™s Chili Supper benefitting the Boys &amp; Girls Clubs of Roane County. http://t.co/DsyoAFZvkR"
support;Great op-ed by Pres. Clinton about signing #FMLA 20 yrs ago today, an important law protecting workers http://t.co/csYEv7O4 #HoyerHeadlines
policy;"As POTUS golfs, pushes amnesty &amp; ignores Keystone, American people are concerned about jobs, econ &amp; health care costs http://t.co/p9sPDYOAca"
attack;The President doesnâ€™t get to just decide he doesnâ€™t like Congress and do his own thing: http://t.co/jmclKjUzSG
policy;"FACT: The Recovery Act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets."
information;RT @MHA: Telemedicine consults at rural ERs helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/VEyo4ScM3g
personal;@SkitchP Wouldn't wish that on anyone. Even you, Skitch.
policy;At 5:45pm, Sen. @CoryBooker will give his maiden Senate speech on need to #RenewUI--such an impt issue! Follow @SenBookerofc for livetweets.
personal;"""...if you have come because your liberation is bound up with mine, then let us work together."" â€“ Lilla Watson http://t.co/6WPXW9QUM0"
support;For health coverage starting Jan. 1st, you must sign up for @AccessHealthCT by end of today: http://t.co/fS7mNrPpmB #GetEnrolled
support;The House will vote this week to #DefundObamacare and keep the government open.
support;"Tks to Margaret 4 joining me in DC to share successes Niskayuna NCAP saw in education &amp; prevention of substance abuse http://t.co/kvS6kAkJyT"
support;A great look back at at Idaho Native American tribes in 1863. #idpol #idaho150 Via @KTVB http://t.co/JsxSWVpDPv
other;#OTD in 1969, American astronaut Neil Armstrong stepped off the lunar landing module Eagle and walked on the surface of the moon
policy;RT if you agree: It's time to #ActOnClimate change â†’ more info on the #NCA2014 released today at http://t.co/SdCnKyUDVJ
policy;We will vote on the Working Families Flexibility Act. Would you like the flexibility to choose how you're comp'd for overtime? #YourTime
constituency;Reminder: Next week, my office will be holding mobile office hours in Sachse and Wylie. Learn more: http://t.co/38p28m2O0I #TX32
support;This wkâ€™s 1 min video is on how expanding Medicaid in #WV will help so many families get affordable health care. http://t.co/VDUMX9R4x5
personal;Thinking of all those affected by the severe weather today - especially in Oklahoma.  Stay safe.
attack;Remember Bill? He and his friends are stuck on @SenatorReid's desk. #4jobs http://t.co/0DCNU1R3G7
policy;Slashing Amtrakâ€™s funding by 1/3 at a time of increasing ridership will hurt PAâ€™s economy. http://t.co/dqtBbksslg https://t.co/4y6igwxWnr
information;American #energy production is creating #jobs, holding prices down, and promoting energy independence: http://t.co/Pw6cdXrHiR
attack;"#Obamacare spawning a new concept: ""medical homelessness.""  http://t.co/mmupzZKMqJ"
information;Delaying or refusing to vote to #RenewUI has real life consequences for 2.8 million Americans- http://t.co/srPRCzH2Dg http://t.co/FYzWGvwKXz
personal;"In his office in the @uscapitol, Senator McConnell congratulated &amp; welcomed Senator-elect Bill Cassidy to the Senate http://t.co/fyZY42ddZP"
personal;.@HouseofCards, if you donâ€™t like Long Island wine, I suggest giving @FLXWineCountry or @Niagwinetrail wines a try.
information;"""Six enrolled on health site on Day 1"" via @politico. #trainwreck http://t.co/ng4OzR3pab"
